epoch,train_loss,val_loss,recall@10,ndcg@10,lr
1,0.506663637165499,0.925022186669812,0.42132880644805126,0.34837297763114206,0.001
2,0.5026225308533431,0.9353392586589928,0.4338108645246771,0.3655243205658379,0.001
3,0.5014974932362591,0.9318052343807123,0.43511924478304076,0.3718579997273855,0.001
4,0.5010506758068318,0.9326827067695153,0.43313735232416917,0.36910380768040635,0.001
5,0.5009417692473291,0.9321726814992777,0.4383653527658165,0.37706713381945955,0.001
6,0.5006952712262921,0.9354948727333323,0.4407088439880755,0.3809230206649407,0.001
7,0.5003427635681592,0.9333401634657269,0.4450618306282434,0.38560549656147836,0.0002
8,0.500495968470687,0.9245292562484596,0.4796593794854809,0.42076709153240927,0.0002
9,0.4988407576332721,0.9255031891015789,0.4670034227669206,0.40910268655412707,0.0002
10,0.4983056435872915,0.9267270220185495,0.46366346472341835,0.40704131195801013,0.0002
11,0.4979319152583851,0.9263452495787894,0.4627304847079607,0.4058795187757896,0.0002
12,0.49772691178611855,0.9273262995109736,0.46242961245445513,0.40563349135652027,0.0002
13,0.4975845817452196,0.928708036414467,0.46180578558021423,0.40334724086047047,0.0002
14,0.4974376384882217,0.9295157259428773,0.4601799712929226,0.40222205782477244,4e-05
15,0.4977851555482749,0.9137144274652901,0.4901374627360053,0.4353654993908012,4e-05
16,0.4977354290395043,0.9131067601472476,0.48909683118030256,0.43375852041920937,4e-05
17,0.49628951921496967,0.9109256355880985,0.48477696809097937,0.4261396495340919,4e-05
18,0.4959195870936114,0.9090649214819849,0.4798001545765706,0.42117996723528306,4e-05
19,0.49526540077246983,0.9072717847889086,0.47432096720768463,0.41729821082261764,4e-05
20,0.4950900120311565,0.9056809791957148,0.4703599425858452,0.41260920539005314,4e-05
21,0.4946277162084299,0.9046118394270454,0.4652037098376946,0.4101284839968434,4e-05
22,0.49458891523812015,0.9032275235483203,0.4640388649663244,0.4077230318112286,4e-05
23,0.4941646635805216,0.9027561587198241,0.4588357071878105,0.4055557420779594,4e-05
24,0.49420484730962316,0.9011812270632895,0.45813459202826545,0.40383497787341205,4e-05
25,0.49383064957582373,0.9013988788429773,0.4553687755327371,0.40347707889966017,4e-05
26,0.49391827419762735,0.900767473589355,0.4552528431047809,0.40225858541689635,4e-05
27,0.4935744809007467,0.9008240816670119,0.4541321629678702,0.4022163207711983,4e-05
28,0.4936555443797221,0.9002955109537835,0.4535525008280888,0.4018238742923207,4e-05
